Name,Type,Subtype,Edition,Cost,Legal,Foil,Rarity,Count,Image,ImageName
"Abbey Matron",Creature,Cleric,Homelands,2W,0,0,Common,1,,abbey_matron.jpg
"Accelerated Mutation",Instant,,Scourge,3GG,0,0,Common,2,,accelerated_mutation.jpg
"Accorder Paladin",Creature,"Human Knight","Mirrodin Besieged",1W,1,0,Uncommon,1,,accorder_paladin.jpg
"Accursed Centaur",Creature,"Zombie Centaur",Onslaught,K,0,0,Common,1,,accursed_centaur.jpg
"Acid Web Spider",Creature,Spider,"Scars of Mirrodin",3GG,1,0,Uncommon,1,,acid_web_spider.jpg
"Acidic Slime",Creature,Ooze,M12,3GG,1,0,Uncommon,5,,acidic_slime.jpg
"Act of Treason",Sorcery,,"M11,M12",2R,1,0,Common,2,,act_of_treason.jpg
"Aegis Angel",Creature,Angel,M12,4WW,1,1,Rare,1,,aegis_angel.jpg
"Æther Adept",Creature,"Human Wizard","M11,M12",1BB,1,0,Common,6,,aether_adept.jpg
"Afflicted Deserter",Creature,"Human Werewolf","Dark Ascension",3R,1,0,Uncommon,1,,afflicted_deserter.jpg
"Ageless Sentinels",Creature,Wall,Scourge,3W,0,0,Rare,1,,ageless_sentinels.jpg
"Air Elemental",Creature,Elemental,DOP,3BB,0,0,Uncommon,2,,air_elemental.jpg
"Akoum Refuge",Land,,Zendikar,,0,0,Uncommon,1,,akoum_refuge.jpg
"Akroma's Devoted",Creature,"Cleric Soldier",Legions,3W,0,0,Uncommon,1,,akromas_devoted.jpg
"Alabaster Mage",Creature,"Human Wizard",M12,1W,1,0,Uncommon,2,,alabaster_mage.jpg
"Aliban's Tower",Instant,,Homelands,1R,0,0,Common,1,,alibans_tower.jpg
"Allied Strategies",Sorcery,,Planeshift,4B,0,0,Uncommon,2,,allied_strategies.jpg
"Alluring Siren",Creature,Siren,"M11,M12",1B,1,1,Uncommon,3,,alluring_siren.jpg
"Alpha Tyrranax",Creature,Beast,"Scars of Mirrodin",4GG,1,0,Common,2,,alpha_tyrranax.jpg
"Altar of the Lost",Artifact,,"Dark Ascension",3,1,0,Uncommon,1,,altar_of_the_lost.jpg
"Ambush Party",Creature,"Ambush Party",Homelands,4R,0,0,Common,1,,ambush_party.jpg
"Ambush Viper",Creature,Snake,Innistrad,1G,1,0,Common,6,,ambush_viper.jpg
"Amphin Cutthroat",Creature,"Salamander Rogue",M12,3B,1,0,Common,2,,amphin_cutthroat.jpg
"Ancient Stirrings",Sorcery,,"Rise of the Eldrazi",G,0,0,Common,1,,ancient_stirrings.jpg
"Angel of Flight Alabaster",Creature,Angel,Innistrad,4W,1,0,Rare,1,,angel_of_flight_alabaster.jpg
"Angel's Feather",Artifact,,M11,2,0,0,Uncommon,1,,angels_feather.jpg
"Angel's Mercy",Instant,,M12,2WW,1,0,Common,6,,angels_mercy.jpg
"Angel's Tomb",Artifact,,"Avacyn Restored",3,1,0,Uncommon,5,,angels_tomb.jpg
"Angelic Armaments",Artifact,Equipment,"Avacyn Restored",3,1,0,Uncommon,3,,angelic_armaments.jpg
"Angelic Destiny",Enchantment,Aura,M12,2WW,1,0,"Mythic Rare",1,,angelic_destiny.jpg
"Ant Queen",Creature,Insect,M10,3GG,0,1,Rare,1,,ant_queen.jpg
"Aphetto Exterminator",Creature,Wizard,Legions,2K,0,0,Uncommon,2,,aphetto_exterminator.jpg
"Apocalypse Chime",Artifact,,Homelands,2,0,0,Common,1,,apocalypse_chime.jpg
"Arachnus Web",Enchantment,Aura,M12,2G,1,0,Common,3,,arachnus_web.jpg
"Arbalest Elite",Creature,"Human Archer",M12,2WW,1,0,Uncommon,3,,arbalest_elite.jpg
"Arbor Elf",Creature,"Elf Druid",Worldwake,GGG,0,0,Common,1,,arbor_elf.jpg
"Arc Runner",Creature,"Elemental Ox",M11,2R,0,0,Common,2,,arc_runner.jpg
"Arc Trail",Sorcery,,"Scars of Mirrodin",1R,1,0,Uncommon,2,,arc_trail.jpg
"Archangel's Light",Sorcery,,"Dark Ascension",7W,1,0,"Mythic Rare",1,,archangels_light.jpg
"Ardent Recruit",Creature,"Human Soldier","Mirrodin Besieged",W,1,0,Common,1,,ardent_recruit.jpg
"Armadillo Cloak",Enchantment,Aura,Archenemy,1GW,0,0,Common,1,,armadillo_cloak.jpg
"Armored Ascension",Enchantment,Aura,M11,3W,0,0,Uncommon,1,,armored_ascension.jpg
"Armored Cancrix",Creature,Crab,M11,4B,0,0,Common,1,,armored_cancrix.jpg
"Armored Skaab",Creature,"Zombie Warrior",Innistrad,2B,1,0,Common,9,,armored_skaab.jpg
"Armored Warhorse",Creature,Horse,M12,WW,1,0,Common,5,,armored_warhorse.jpg
Arrest,Enchantment,Aura,"Scars of Mirrodin",2W,1,0,Common,3,,arrest.jpg
"Artful Dodge",Sorcery,,"Dark Ascension",B,1,0,Common,3,,artful_dodge.jpg
Artillerize,Instant,,"New Phyrexia",3R,1,0,Common,1,,artillerize.jpg
Asceticism,Enchantment,,"Scars of Mirrodin",3GG,1,0,Rare,1,,asceticism.jpg
"Ashmouth Hound",Creature,"Elemental Hound",Innistrad,1R,1,0,Common,1,,ashmouth_hound.jpg
Assassinate,Sorcery,,"Planechase 2012",2K,0,0,Common,2,,assassinate.jpg
"Assault Griffin",Creature,Griffin,"M11,M12",3W,1,0,Common,7,,assault_griffin.jpg
